timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-12-09,1.00013122,1.00045540,0.99999857,1.00007150,1.00013122,1.00045540,0.99999857,1.00007150,78945254.33972239,78950899.21653856
2017-12-08,1.00059220,1.00096524,1.00013122,1.00013122,1.00059220,1.00096524,1.00013122,1.00013122,40916472.82562404,40921841.78543243
2017-12-07,1.00065473,1.00260668,1.00013237,1.00059504,1.00065473,1.00260668,1.00013237,1.00059504,54308248.79863565,54340564.36170818
2017-12-06,1.00000322,1.00136856,0.99991412,1.00063104,1.00000322,1.00136856,0.99991412,1.00063104,52461945.83468089,52495051.65548044
2017-12-05,1.00019383,1.00038769,0.99880549,0.99985781,1.00019383,1.00038769,0.99880549,0.99985781,47872729.02394423,47865922.13955389
2017-12-04,0.99995587,1.00032649,0.99973339,1.00025105,0.99995587,1.00032649,0.99973339,1.00025105,30705175.06959067,30712883.56795742
2017-12-03,0.99987437,0.99995912,0.99957749,0.99995713,0.99987437,0.99995912,0.99957749,0.99995713,73449288.49299619,73446139.58576633
2017-12-02,1.00008244,1.00016965,0.99973030,0.99987962,1.00008244,1.00016965,0.99973030,0.99987962,39383296.91754438,39378555.98646604
2017-12-01,1.00017608,1.00078034,0.99998374,1.00007750,1.00017608,1.00078034,0.99998374,1.00007750,18663404.04518576,18664850.45413638
2017-11-30,0.99994618,1.00059797,0.99987205,1.00017826,0.99994618,1.00059797,0.99987205,1.00017826,56817025.84694664,56827154.06384213
2017-11-29,0.99977375,0.99995699,0.99867078,0.99993900,0.99977375,0.99995699,0.99867078,0.99993900,66103507.08660857,66099475.09882888
2017-11-28,0.99993051,0.99993051,0.99942928,0.99977136,0.99993051,0.99993051,0.99942928,0.99977136,17537043.42326153,17533033.77613456
2017-11-27,0.99969520,1.00004137,0.99962166,0.99993208,0.99969520,1.00004137,0.99962166,0.99993208,41772562.59414782,41769725.40314897
2017-11-26,0.99989520,0.99995082,0.99062256,0.99957611,0.99989520,0.99995082,0.99062256,0.99957611,7858211.70825883,7854880.67847301
2017-11-25,0.99984544,0.99994151,0.99974745,0.99991909,0.99984544,0.99994151,0.99974745,0.99991909,16666517.17110299,16665168.65348356
2017-11-24,0.99990783,1.00001419,0.99976436,0.99984387,0.99990783,1.00001419,0.99976436,0.99984387,41551034.42376316,41544546.94771638
2017-11-23,0.99993875,0.99995612,0.99946709,0.99990706,0.99993875,0.99995612,0.99946709,0.99990706,23010559.83736647,23008421.33469390
